iter,dphi_kT,dID_rel
1,1.635563e+01,5.704327e-01
2,4.066913e+00,4.876580e-01
3,9.560093e-01,1.353054e-01
4,2.932178e-01,7.073032e-02
5,1.312861e-01,2.058140e-02
6,6.828910e-02,1.913890e-02
7,1.275601e-01,2.319863e-02
8,7.016325e-02,6.223141e-03
9,5.030692e-02,1.852531e-02
10,1.241104e-01,3.801320e-02
11,6.607818e-02,3.812899e-02
12,9.306219e-02,3.720653e-02
13,7.121835e-02,2.343781e-02
14,1.069843e-01,2.084685e-02
15,3.510245e-02,1.863318e-03
16,4.662802e-02,3.148137e-03
17,2.234498e-01,5.929339e-02
18,1.545384e-01,2.780808e-02
19,1.047303e-01,4.083835e-02
20,4.170803e-02,1.642703e-02
