gid,x,y,z
0,-15,-6,-3.5
1,-15,-6,-2.5
2,-15,-6,-2.14286
3,-15,-6,-1.78571
4,-15,-6,-1.42857
5,-15,-6,-1.07143
6,-15,-6,-0.714286
7,-15,-6,-0.357143
8,-15,-6,-0
9,-15,-6,0.357143
10,-15,-6,0.714286
11,-15,-6,1.07143
12,-15,-6,1.42857
13,-15,-6,1.78571
14,-15,-6,2.14286
15,-15,-6,2.5
16,-15,-6,3.5
17,-15,-5,-3.5
18,-15,-5,-2.5
19,-15,-5,-2.14286
20,-15,-5,-1.78571
21,-15,-5,-1.42857
22,-15,-5,-1.07143
23,-15,-5,-0.714286
24,-15,-5,-0.357143
25,-15,-5,-0
26,-15,-5,0.357143
27,-15,-5,0.714286
28,-15,-5,1.07143
29,-15,-5,1.42857
30,-15,-5,1.78571
31,-15,-5,2.14286
32,-15,-5,2.5
33,-15,-5,3.5
34,-15,-4.28571,-3.5
35,-15,-4.28571,-2.5
36,-15,-4.28571,-2.14286
37,-15,-4.28571,-1.78571
38,-15,-4.28571,-1.42857
39,-15,-4.28571,-1.07143
40,-15,-4.28571,-0.714286
41,-15,-4.28571,-0.357143
42,-15,-4.28571,-0
43,-15,-4.28571,0.357143
44,-15,-4.28571,0.714286
45,-15,-4.28571,1.07143
46,-15,-4.28571,1.42857
47,-15,-4.28571,1.78571
48,-15,-4.28571,2.14286
49,-15,-4.28571,2.5
50,-15,-4.28571,3.5
51,-15,-3.57143,-3.5
52,-15,-3.57143,-2.5
53,-15,-3.57143,-2.14286
54,-15,-3.57143,-1.78571
55,-15,-3.57143,-1.42857
56,-15,-3.57143,-1.07143
57,-15,-3.57143,-0.714286
58,-15,-3.57143,-0.357143
59,-15,-3.57143,-0
60,-15,-3.57143,0.357143
61,-15,-3.57143,0.714286
62,-15,-3.57143,1.07143
63,-15,-3.57143,1.42857
64,-15,-3.57143,1.78571
65,-15,-3.57143,2.14286
66,-15,-3.57143,2.5
67,-15,-3.57143,3.5
68,-15,-2.85714,-3.5
69,-15,-2.85714,-2.5
70,-15,-2.85714,-2.14286
71,-15,-2.85714,-1.78571
72,-15,-2.85714,-1.42857
73,-15,-2.85714,-1.07143
74,-15,-2.85714,-0.714286
