tid,n0,n1,n2,n3,mat
0,0,289,307,290,0
1,0,289,306,307,0
2,0,306,17,307,0
3,0,17,18,307,0
4,0,1,307,18,0
5,0,1,290,307,0
6,1,290,308,291,0
7,1,290,307,308,0
8,1,307,18,308,0
9,1,18,19,308,0
10,1,2,308,19,0
11,1,2,291,308,0
12,2,291,309,292,0
13,2,291,308,309,0
14,2,308,19,309,0
15,2,19,20,309,0
16,2,3,309,20,0
17,2,3,292,309,0
18,3,292,310,293,0
19,3,292,309,310,0
20,3,309,20,310,0
21,3,20,21,310,0
22,3,4,310,21,0
23,3,4,293,310,0
24,4,293,311,294,0
25,4,293,310,311,0
26,4,310,21,311,0
27,4,21,22,311,0
28,4,5,311,22,0
29,4,5,294,311,0
30,5,294,312,295,0
31,5,294,311,312,0
32,5,311,22,312,0
33,5,22,23,312,0
34,5,6,312,23,0
35,5,6,295,312,0
36,6,295,313,296,0
37,6,295,312,313,0
38,6,312,23,313,0
39,6,23,24,313,0
40,6,7,313,24,0
41,6,7,296,313,0
42,7,296,314,297,0
43,7,296,313,314,0
44,7,313,24,314,0
45,7,24,25,314,0
46,7,8,314,25,0
47,7,8,297,314,0
48,8,297,315,298,0
49,8,297,314,315,0
50,8,314,25,315,0
51,8,25,26,315,0
52,8,9,315,26,0
53,8,9,298,315,0
54,9,298,316,299,0
55,9,298,315,316,0
56,9,315,26,316,0
57,9,26,27,316,0
58,9,10,316,27,0
59,9,10,299,316,0
60,10,299,317,300,0
61,10,299,316,317,0
62,10,316,27,317,0
63,10,27,28,317,0
64,10,11,317,28,0
65,10,11,300,317,0
66,11,300,318,301,0
67,11,300,317,318,0
68,11,317,28,318,0
69,11,28,29,318,0
70,11,12,318,29,0
71,11,12,301,318,0
72,12,301,319,302,0
73,12,301,318,319,0
74,12,318,29,319,0
75,12,29,30,319,0
76,12,13,319,30,0
77,12,13,302,319,0
78,13,302,320,303,0
79,13,302,319,320,0
80,13,319,30,320,0
81,13,30,31,320,0
82,13,14,320,31,0
83,13,14,303,320,0
84,14,303,321,304,0
85,14,303,320,321,0
86,14,320,31,321,0
87,14,31,32,321,0
88,14,15,321,32,0
89,14,15,304,321,0
90,15,304,322,305,0
91,15,304,321,322,0
92,15,321,32,322,0
93,15,32,33,322,0
94,15,16,322,33,0
95,15,16,305,322,0
96,17,306,324,307,0
97,17,306,323,324,0
98,17,323,34,324,0
99,17,34,35,324,0
100,17,18,324,35,0
101,17,18,307,324,0
102,18,307,325,308,1
103,18,307,324,325,1
104,18,324,35,325,1
105,18,35,36,325,1
106,18,19,325,36,1
107,18,19,308,325,1
108,19,308,326,309,1
109,19,308,325,326,1
110,19,325,36,326,1
111,19,36,37,326,1
112,19,20,326,37,1
113,19,20,309,326,1
114,20,309,327,310,1
115,20,309,326,327,1
116,20,326,37,327,1
117,20,37,38,327,1
118,20,21,327,38,1
119,20,21,310,327,1
120,21,310,328,311,1
121,21,310,327,328,1
122,21,327,38,328,1
123,21,38,39,328,1
124,21,22,328,39,1
125,21,22,311,328,1
126,22,311,329,312,1
127,22,311,328,329,1
128,22,328,39,329,1
129,22,39,40,329,1
130,22,23,329,40,1
131,22,23,312,329,1
132,23,312,330,313,1
133,23,312,329,330,1
134,23,329,40,330,1
135,23,40,41,330,1
136,23,24,330,41,1
137,23,24,313,330,1
138,24,313,331,314,1
139,24,313,330,331,1
140,24,330,41,331,1
141,24,41,42,331,1
142,24,25,331,42,1
143,24,25,314,331,1
144,25,314,332,315,1
145,25,314,331,332,1
146,25,331,42,332,1
147,25,42,43,332,1
148,25,26,332,43,1
149,25,26,315,332,1
150,26,315,333,316,1
151,26,315,332,333,1
152,26,332,43,333,1
153,26,43,44,333,1
154,26,27,333,44,1
155,26,27,316,333,1
156,27,316,334,317,1
157,27,316,333,334,1
158,27,333,44,334,1
159,27,44,45,334,1
160,27,28,334,45,1
161,27,28,317,334,1
162,28,317,335,318,1
163,28,317,334,335,1
164,28,334,45,335,1
165,28,45,46,335,1
166,28,29,335,46,1
167,28,29,318,335,1
168,29,318,336,319,1
169,29,318,335,336,1
170,29,335,46,336,1
171,29,46,47,336,1
172,29,30,336,47,1
173,29,30,319,336,1
174,30,319,337,320,1
175,30,319,336,337,1
176,30,336,47,337,1
177,30,47,48,337,1
178,30,31,337,48,1
179,30,31,320,337,1
180,31,320,338,321,1
181,31,320,337,338,1
182,31,337,48,338,1
183,31,48,49,338,1
184,31,32,338,49,1
185,31,32,321,338,1
186,32,321,339,322,0
187,32,321,338,339,0
188,32,338,49,339,0
189,32,49,50,339,0
190,32,33,339,50,0
191,32,33,322,339,0
192,34,323,341,324,0
193,34,323,340,341,0
194,34,340,51,341,0
195,34,51,52,341,0
196,34,35,341,52,0
197,34,35,324,341,0
198,35,324,342,325,1
199,35,324,341,342,1
200,35,341,52,342,1
201,35,52,53,342,1
202,35,36,342,53,1
203,35,36,325,342,1
204,36,325,343,326,1
205,36,325,342,343,1
206,36,342,53,343,1
207,36,53,54,343,1
208,36,37,343,54,1
209,36,37,326,343,1
210,37,326,344,327,1
211,37,326,343,344,1
212,37,343,54,344,1
213,37,54,55,344,1
214,37,38,344,55,1
215,37,38,327,344,1
216,38,327,345,328,1
217,38,327,344,345,1
218,38,344,55,345,1
219,38,55,56,345,1
220,38,39,345,56,1
221,38,39,328,345,1
222,39,328,346,329,1
223,39,328,345,346,1
224,39,345,56,346,1
225,39,56,57,346,1
226,39,40,346,57,1
227,39,40,329,346,1
228,40,329,347,330,1
229,40,329,346,347,1
230,40,346,57,347,1
231,40,57,58,347,1
232,40,41,347,58,1
233,40,41,330,347,1
234,41,330,348,331,1
235,41,330,347,348,1
236,41,347,58,348,1
237,41,58,59,348,1
238,41,42,348,59,1
239,41,42,331,348,1
240,42,331,349,332,1
241,42,331,348,349,1
242,42,348,59,349,1
243,42,59,60,349,1
244,42,43,349,60,1
245,42,43,332,349,1
246,43,332,350,333,1
247,43,332,349,350,1
248,43,349,60,350,1
249,43,60,61,350,1
250,43,44,350,61,1
251,43,44,333,350,1
252,44,333,351,334,1
253,44,333,350,351,1
254,44,350,61,351,1
255,44,61,62,351,1
256,44,45,351,62,1
257,44,45,334,351,1
258,45,334,352,335,1
259,45,334,351,352,1
260,45,351,62,352,1
261,45,62,63,352,1
262,45,46,352,63,1
263,45,46,335,352,1
264,46,335,353,336,1
265,46,335,352,353,1
266,46,352,63,353,1
267,46,63,64,353,1
268,46,47,353,64,1
269,46,47,336,353,1
270,47,336,354,337,1
271,47,336,353,354,1
272,47,353,64,354,1
273,47,64,65,354,1
274,47,48,354,65,1
275,47,48,337,354,1
276,48,337,355,338,1
277,48,337,354,355,1
278,48,354,65,355,1
279,48,65,66,355,1
280,48,49,355,66,1
281,48,49,338,355,1
282,49,338,356,339,0
283,49,338,355,356,0
284,49,355,66,356,0
285,49,66,67,356,0
286,49,50,356,67,0
287,49,50,339,356,0
288,51,340,358,341,0
289,51,340,357,358,0
290,51,357,68,358,0
291,51,68,69,358,0
292,51,52,358,69,0
293,51,52,341,358,0
294,52,341,359,342,1
295,52,341,358,359,1
296,52,358,69,359,1
297,52,69,70,359,1
298,52,53,359,70,1
299,52,53,342,359,1
300,53,342,360,343,1
301,53,342,359,360,1
302,53,359,70,360,1
303,53,70,71,360,1
304,53,54,360,71,1
305,53,54,343,360,1
306,54,343,361,344,1
307,54,343,360,361,1
308,54,360,71,361,1
309,54,71,72,361,1
310,54,55,361,72,1
311,54,55,344,361,1
312,55,344,362,345,1
313,55,344,361,362,1
314,55,361,72,362,1
315,55,72,73,362,1
316,55,56,362,73,1
317,55,56,345,362,1
318,56,345,363,346,1
319,56,345,362,363,1
320,56,362,73,363,1
321,56,73,74,363,1
322,56,57,363,74,1
323,56,57,346,363,1
324,57,346,364,347,1
325,57,346,363,364,1
326,57,363,74,364,1
327,57,74,75,364,1
328,57,58,364,75,1
329,57,58,347,364,1
330,58,347,365,348,1
331,58,347,364,365,1
332,58,364,75,365,1
333,58,75,76,365,1
334,58,59,365,76,1
335,58,59,348,365,1
336,59,348,366,349,1
337,59,348,365,366,1
338,59,365,76,366,1
339,59,76,77,366,1
340,59,60,366,77,1
341,59,60,349,366,1
342,60,349,367,350,1
343,60,349,366,367,1
344,60,366,77,367,1
345,60,77,78,367,1
346,60,61,367,78,1
347,60,61,350,367,1
348,61,350,368,351,1
349,61,350,367,368,1
350,61,367,78,368,1
351,61,78,79,368,1
352,61,62,368,79,1
353,61,62,351,368,1
354,62,351,369,352,1
355,62,351,368,369,1
356,62,368,79,369,1
357,62,79,80,369,1
358,62,63,369,80,1
359,62,63,352,369,1
360,63,352,370,353,1
361,63,352,369,370,1
362,63,369,80,370,1
363,63,80,81,370,1
364,63,64,370,81,1
365,63,64,353,370,1
366,64,353,371,354,1
367,64,353,370,371,1
368,64,370,81,371,1
369,64,81,82,371,1
370,64,65,371,82,1
371,64,65,354,371,1
372,65,354,372,355,1
373,65,354,371,372,1
374,65,371,82,372,1
375,65,82,83,372,1
376,65,66,372,83,1
377,65,66,355,372,1
378,66,355,373,356,0
379,66,355,372,373,0
380,66,372,83,373,0
381,66,83,84,373,0
382,66,67,373,84,0
383,66,67,356,373,0
384,68,357,375,358,0
385,68,357,374,375,0
386,68,374,85,375,0
387,68,85,86,375,0
388,68,69,375,86,0
389,68,69,358,375,0
390,69,358,376,359,1
391,69,358,375,376,1
392,69,375,86,376,1
393,69,86,87,376,1
394,69,70,376,87,1
395,69,70,359,376,1
396,70,359,377,360,1
397,70,359,376,377,1
398,70,376,87,377,1
399,70,87,88,377,1
400,70,71,377,88,1
401,70,71,360,377,1
402,71,360,378,361,1
403,71,360,377,378,1
404,71,377,88,378,1
405,71,88,89,378,1
406,71,72,378,89,1
407,71,72,361,378,1
408,72,361,379,362,1
409,72,361,378,379,1
410,72,378,89,379,1
411,72,89,90,379,1
412,72,73,379,90,1
413,72,73,362,379,1
414,73,362,380,363,1
415,73,362,379,380,1
416,73,379,90,380,1
417,73,90,91,380,1
418,73,74,380,91,1
419,73,74,363,380,1
420,74,363,381,364,1
421,74,363,380,381,1
422,74,380,91,381,1
423,74,91,92,381,1
424,74,75,381,92,1
425,74,75,364,381,1
426,75,364,382,365,1
427,75,364,381,382,1
428,75,381,92,382,1
429,75,92,93,382,1
430,75,76,382,93,1
431,75,76,365,382,1
432,76,365,383,366,1
433,76,365,382,383,1
434,76,382,93,383,1
435,76,93,94,383,1
436,76,77,383,94,1
437,76,77,366,383,1
438,77,366,384,367,1
439,77,366,383,384,1
440,77,383,94,384,1
441,77,94,95,384,1
442,77,78,384,95,1
443,77,78,367,384,1
444,78,367,385,368,1
445,78,367,384,385,1
446,78,384,95,385,1
447,78,95,96,385,1
448,78,79,385,96,1
449,78,79,368,385,1
450,79,368,386,369,1
451,79,368,385,386,1
452,79,385,96,386,1
453,79,96,97,386,1
454,79,80,386,97,1
455,79,80,369,386,1
456,80,369,387,370,1
457,80,369,386,387,1
458,80,386,97,387,1
459,80,97,98,387,1
460,80,81,387,98,1
461,80,81,370,387,1
462,81,370,388,371,1
463,81,370,387,388,1
464,81,387,98,388,1
465,81,98,99,388,1
466,81,82,388,99,1
467,81,82,371,388,1
468,82,371,389,372,1
469,82,371,388,389,1
470,82,388,99,389,1
471,82,99,100,389,1
472,82,83,389,100,1
473,82,83,372,389,1
474,83,372,390,373,0
475,83,372,389,390,0
476,83,389,100,390,0
477,83,100,101,390,0
478,83,84,390,101,0
479,83,84,373,390,0
480,85,374,392,375,0
481,85,374,391,392,0
482,85,391,102,392,0
483,85,102,103,392,0
484,85,86,392,103,0
485,85,86,375,392,0
486,86,375,393,376,1
487,86,375,392,393,1
488,86,392,103,393,1
489,86,103,104,393,1
490,86,87,393,104,1
491,86,87,376,393,1
492,87,376,394,377,1
493,87,376,393,394,1
494,87,393,104,394,1
495,87,104,105,394,1
496,87,88,394,105,1
497,87,88,377,394,1
498,88,377,395,378,1
499,88,377,394,395,1
500,88,394,105,395,1
501,88,105,106,395,1
502,88,89,395,106,1
503,88,89,378,395,1
504,89,378,396,379,1
505,89,378,395,396,1
506,89,395,106,396,1
507,89,106,107,396,1
508,89,90,396,107,1
509,89,90,379,396,1
510,90,379,397,380,1
511,90,379,396,397,1
512,90,396,107,397,1
513,90,107,108,397,1
514,90,91,397,108,1
515,90,91,380,397,1
