x_nm,eps_0_eV,eps_1_eV,eps_2_eV,eps_3_eV,eps_4_eV,eps_5_eV,eps_6_eV,eps_7_eV,eps_8_eV,eps_9_eV,eps_10_eV,eps_11_eV,eps_12_eV,eps_13_eV,eps_14_eV,eps_15_eV,eps_16_eV,eps_17_eV,eps_18_eV,eps_19_eV,eps_20_eV,eps_21_eV,eps_22_eV,eps_23_eV,eps_24_eV,eps_25_eV,eps_26_eV,eps_27_eV,eps_28_eV,eps_29_eV,eps_30_eV,eps_31_eV,eps_32_eV,eps_33_eV,eps_34_eV,eps_35_eV,eps_36_eV,eps_37_eV,eps_38_eV,eps_39_eV
-15.0000,-5.0611e-01,-4.5478e-01,-4.4983e-01,-3.9688e-01,-3.6294e-01,-3.5836e-01,-3.1001e-01,-3.0091e-01,-2.5040e-01,-2.2244e-01,-2.1384e-01,-1.9773e-01,-1.6428e-01,-1.2602e-01,-1.0136e-01,-7.8320e-02,-7.2736e-02,-5.0715e-02,-2.5687e-03,7.2062e-03,2.1704e-02,3.4879e-02,5.0258e-02,9.4515e-02,1.0937e-01,1.4649e-01,1.5738e-01,1.5838e-01,1.6290e-01,1.9912e-01,2.0690e-01,2.1629e-01,2.5199e-01,2.5543e-01,2.5895e-01,2.8288e-01,3.0369e-01,3.0807e-01,3.3047e-01,3.4801e-01
-14.2500,-5.0411e-01,-4.5310e-01,-4.4853e-01,-3.9669e-01,-3.6078e-01,-3.5709e-01,-3.0911e-01,-3.0066e-01,-2.4904e-01,-2.2054e-01,-2.1297e-01,-1.9727e-01,-1.6388e-01,-1.2451e-01,-1.0085e-01,-7.6810e-02,-7.2475e-02,-4.8733e-02,-1.2099e-03,7.7620e-03,2.2544e-02,3.5582e-02,5.0618e-02,9.5533e-02,1.1096e-01,1.4701e-01,1.5898e-01,1.6040e-01,1.6314e-01,2.0041e-01,2.0762e-01,2.1703e-01,2.5223e-01,2.5774e-01,2.5954e-01,2.8348e-01,3.0485e-01,3.0975e-01,3.3146e-01,3.4827e-01
-13.5000,-4.9745e-01,-4.4661e-01,-4.4220e-01,-3.9101e-01,-3.5401e-01,-3.5050e-01,-3.0298e-01,-2.9471e-01,-2.4258e-01,-2.1359e-01,-2.0657e-01,-1.9136e-01,-1.5772e-01,-1.1804e-01,-9.4676e-02,-6.9996e-02,-6.6698e-02,-4.1660e-02,5.2472e-03,1.4055e-02,2.8881e-02,4.1983e-02,5.6501e-02,1.0224e-01,1.1753e-01,1.5319e-01,1.6579e-01,1.6781e-01,1.6896e-01,2.0674e-01,2.1413e-01,2.2368e-01,2.5795e-01,2.6471e-01,2.6563e-01,2.8985e-01,3.1188e-01,3.1626e-01,3.3808e-01,3.5423e-01
-12.7500,-4.8420e-01,-4.3365e-01,-4.2909e-01,-3.7857e-01,-3.4068e-01,-3.3692e-01,-2.9026e-01,-2.8160e-01,-2.2933e-01,-1.9945e-01,-1.9315e-01,-1.7870e-01,-1.4412e-01,-1.0494e-01,-8.1376e-02,-5.6070e-02,-5.4214e-02,-2.6992e-02,1.8508e-02,2.8216e-02,4.2204e-02,5.5803e-02,6.9164e-02,1.1672e-01,1.3080e-01,1.6649e-01,1.7966e-01,1.8154e-01,1.8351e-01,2.1985e-01,2.2850e-01,2.3882e-01,2.7040e-01,2.7831e-01,2.7870e-01,3.0367e-01,3.2729e-01,3.2925e-01,3.5243e-01,3.6735e-01
-12.0000,-4.6082e-01,-4.1092e-01,-4.0595e-01,-3.5637e-01,-3.1746e-01,-3.1237e-01,-2.6794e-01,-2.5756e-01,-2.0599e-01,-1.7335e-01,-1.6895e-01,-1.5626e-01,-1.1859e-01,-8.1957e-02,-5.7178e-02,-3.2498e-02,-3.0066e-02,1.2600e-03,4.1862e-02,5.5984e-02,6.6297e-02,8.1575e-02,9.1609e-02,1.4467e-01,1.5403e-01,1.9069e-01,2.0345e-01,2.0557e-01,2.1463e-01,2.4302e-01,2.5646e-01,2.6937e-01,2.9262e-01,3.0187e-01,3.0271e-01,3.2944e-01,3.5201e-01,3.5796e-01,3.8019e-01,3.9141e-01
-11.2500,-4.2319e-01,-3.7374e-01,-3.6897e-01,-3.2008e-01,-2.8053e-01,-2.7009e-01,-2.3169e-01,-2.1604e-01,-1.6879e-01,-1.2747e-01,-1.2592e-01,-1.1972e-01,-7.2088e-02,-4.5321e-02,-1.5561e-02,3.5567e-03,1.6351e-02,5.6343e-02,7.9078e-02,1.0770e-01,1.1028e-01,1.2802e-01,1.2850e-01,1.9096e-01,1.9894e-01,2.3231e-01,2.3973e-01,2.5182e-01,2.7821e-01,2.8005e-01,3.1090e-01,3.2896e-01,3.3209e-01,3.3966e-01,3.4405e-01,3.7624e-01,3.8925e-01,4.2061e-01,4.3298e-01,4.3426e-01
-10.5000,-3.6836e-01,-3.1528e-01,-3.1527e-01,-2.6278e-01,-2.2700e-01,-1.9714e-01,-1.7468e-01,-1.4419e-01,-1.1485e-01,-6.2262e-02,-5.5939e-02,-3.5942e-02,7.9820e-03,1.6642e-02,5.6379e-02,6.0501e-02,1.0498e-01,1.3300e-01,1.7035e-01,1.7933e-01,1.8560e-01,2.1740e-01,2.2311e-01,2.4443e-01,2.9670e-01,3.0421e-01,3.1143e-01,3.3387e-01,3.4031e-01,3.8641e-01,3.9468e-01,4.1548e-01,4.1883e-01,4.2379e-01,4.4785e-01,4.6523e-01,4.7152e-01,5.0497e-01,5.4670e-01,5.5977e-01
-9.7500,-2.9439e-01,-2.4189e-01,-2.2288e-01,-1.7085e-01,-1.5471e-01,-8.3824e-02,-6.7333e-02,-4.1833e-02,-1.5326e-02,2.9323e-02,7.2024e-02,8.0814e-02,1.4525e-01,1.5188e-01,1.8510e-01,1.9722e-01,2.0602e-01,2.7710e-01,2.8454e-01,3.0785e-01,3.1675e-01,3.8760e-01,3.9763e-01,4.0738e-01,4.1614e-01,4.3290e-01,4.6811e-01,4.6874e-01,4.7854e-01,5.2029e-01,5.4032e-01,5.4342e-01,5.5542e-01,6.3399e-01,6.4541e-01,6.6848e-01,6.9587e-01,7.4195e-01,7.5594e-01,7.9116e-01
-9.0000,-2.0811e-01,-1.5638e-01,-9.4886e-02,-7.0714e-02,-4.3589e-02,4.2101e-02,4.3266e-02,1.3764e-01,1.5633e-01,1.6584e-01,1.8853e-01,2.7491e-01,2.7874e-01,2.9089e-01,3.8869e-01,4.0079e-01,4.0391e-01,4.5469e-01,4.9327e-01,5.0573e-01,5.1148e-01,5.1356e-01,5.5517e-01,5.9165e-01,6.0614e-01,6.3630e-01,6.6846e-01,7.0571e-01,7.4631e-01,8.2824e-01,8.3822e-01,8.5750e-01,9.0104e-01,9.0850e-01,9.5330e-01,9.9456e-01,1.0631e+00,1.1085e+00,1.1555e+00,1.2181e+00
-8.2500,-1.3318e-01,-8.4407e-02,4.3656e-04,2.5287e-02,7.3929e-02,1.1566e-01,1.5906e-01,2.3809e-01,2.7422e-01,3.4678e-01,3.6285e-01,3.9475e-01,3.9649e-01,4.7187e-01,4.8034e-01,5.2146e-01,5.6613e-01,5.9508e-01,6.3044e-01,6.3068e-01,7.1769e-01,7.2444e-01,7.7953e-01,7.8918e-01,8.2771e-01,8.4229e-01,9.1290e-01,9.5165e-01,1.0279e+00,1.0453e+00,1.1108e+00,1.1503e+00,1.2751e+00,1.3318e+00,1.3799e+00,1.3843e+00,1.4653e+00,1.4783e+00,1.5435e+00,1.5802e+00
