H_eV,T_noC,T_withC
-1.097702e+00,0.000000e+00,0.000000e+00
-1.095202e+00,0.000000e+00,0.000000e+00
-1.092702e+00,0.000000e+00,0.000000e+00
-1.090202e+00,0.000000e+00,0.000000e+00
-1.087702e+00,0.000000e+00,0.000000e+00
-1.085202e+00,0.000000e+00,0.000000e+00
-1.082702e+00,0.000000e+00,0.000000e+00
-1.080202e+00,0.000000e+00,0.000000e+00
-1.077702e+00,0.000000e+00,0.000000e+00
-1.075202e+00,0.000000e+00,0.000000e+00
-1.072702e+00,0.000000e+00,0.000000e+00
-1.070202e+00,0.000000e+00,0.000000e+00
-1.067702e+00,0.000000e+00,0.000000e+00
-1.065202e+00,0.000000e+00,0.000000e+00
-1.062702e+00,0.000000e+00,0.000000e+00
-1.060202e+00,0.000000e+00,0.000000e+00
-1.057702e+00,0.000000e+00,0.000000e+00
-1.055202e+00,0.000000e+00,0.000000e+00
-1.052702e+00,0.000000e+00,0.000000e+00
-1.050202e+00,0.000000e+00,0.000000e+00
-1.047702e+00,0.000000e+00,0.000000e+00
-1.045202e+00,0.000000e+00,0.000000e+00
-1.042702e+00,0.000000e+00,0.000000e+00
-1.040202e+00,0.000000e+00,0.000000e+00
-1.037702e+00,0.000000e+00,0.000000e+00
-1.035202e+00,0.000000e+00,0.000000e+00
-1.032702e+00,0.000000e+00,0.000000e+00
-1.030202e+00,0.000000e+00,0.000000e+00
-1.027702e+00,0.000000e+00,0.000000e+00
-1.025202e+00,0.000000e+00,0.000000e+00
-1.022702e+00,0.000000e+00,0.000000e+00
-1.020202e+00,0.000000e+00,0.000000e+00
-1.017702e+00,0.000000e+00,0.000000e+00
-1.015202e+00,0.000000e+00,0.000000e+00
-1.012702e+00,0.000000e+00,0.000000e+00
-1.010202e+00,0.000000e+00,0.000000e+00
-1.007702e+00,0.000000e+00,0.000000e+00
-1.005202e+00,0.000000e+00,0.000000e+00
-1.002702e+00,0.000000e+00,0.000000e+00
-1.000202e+00,0.000000e+00,0.000000e+00
-9.977024e-01,0.000000e+00,0.000000e+00
-9.952024e-01,0.000000e+00,0.000000e+00
-9.927024e-01,0.000000e+00,0.000000e+00
-9.902024e-01,0.000000e+00,0.000000e+00
-9.877024e-01,0.000000e+00,0.000000e+00
-9.852024e-01,0.000000e+00,0.000000e+00
-9.827024e-01,0.000000e+00,0.000000e+00
-9.802024e-01,0.000000e+00,0.000000e+00
-9.777024e-01,0.000000e+00,0.000000e+00
-9.752024e-01,0.000000e+00,0.000000e+00
-9.727024e-01,0.000000e+00,0.000000e+00
-9.702024e-01,0.000000e+00,0.000000e+00
-9.677024e-01,0.000000e+00,0.000000e+00
-9.652024e-01,0.000000e+00,0.000000e+00
-9.627024e-01,0.000000e+00,0.000000e+00
-9.602024e-01,0.000000e+00,0.000000e+00
-9.577024e-01,0.000000e+00,0.000000e+00
-9.552024e-01,0.000000e+00,0.000000e+00
-9.527024e-01,0.000000e+00,0.000000e+00
