x_nm,n_msbte_nm1,p_1D_nm1,A_nm2
-15.0000,3.7964e+01,2.2227e-28,9.9992e+01
-14.2500,3.7832e+01,4.7934e-28,9.9975e+01
-13.5000,3.7044e+01,6.2229e-28,9.9917e+01
-12.7500,3.5427e+01,1.0433e-27,9.9726e+01
-12.0000,3.2598e+01,2.5998e-27,9.9101e+01
-11.2500,2.8096e+01,1.1280e-26,9.7134e+01
-10.5000,2.1531e+01,9.0303e-26,9.1601e+01
-9.7500,1.3571e+01,1.1525e-24,7.9934e+01
-9.0000,7.0352e+00,1.7033e-23,6.5501e+01
-8.2500,3.4695e+00,1.8869e-22,5.5960e+01
-7.5000,2.3467e+00,1.1120e-21,5.1958e+01
-6.7500,2.0353e+00,3.4992e-21,5.0606e+01
-6.0000,1.7811e+00,7.8425e-21,5.0184e+01
-5.2500,1.6501e+00,1.3821e-20,5.0056e+01
-4.5000,1.5894e+00,2.1049e-20,5.0017e+01
-3.7500,1.5763e+00,2.9635e-20,5.0005e+01
-3.0000,1.6056e+00,4.0105e-20,5.0002e+01
-2.2500,1.6956e+00,5.1325e-20,5.0000e+01
-1.5000,1.6544e+00,5.7581e-20,5.0000e+01
-0.7500,1.5902e+00,5.9153e-20,5.0000e+01
0.0000,1.5901e+00,5.1884e-20,5.0000e+01
0.7500,1.5788e+00,5.2419e-20,5.0000e+01
1.5000,1.5758e+00,4.4932e-20,5.0000e+01
2.2500,1.5711e+00,3.8031e-20,5.0000e+01
3.0000,1.5662e+00,3.1425e-20,5.0002e+01
3.7500,1.5699e+00,2.5058e-20,5.0005e+01
4.5000,1.5921e+00,1.8816e-20,5.0017e+01
5.2500,1.6514e+00,1.2772e-20,5.0056e+01
6.0000,1.7819e+00,7.4046e-21,5.0184e+01
6.7500,2.0354e+00,3.3480e-21,5.0606e+01
7.5000,2.3460e+00,1.0699e-21,5.1958e+01
8.2500,3.4706e+00,1.8204e-22,5.5960e+01
9.0000,7.0339e+00,1.6437e-23,6.5501e+01
9.7500,1.3568e+01,1.1113e-24,7.9934e+01
10.5000,2.1529e+01,8.7060e-26,9.1601e+01
11.2500,2.8096e+01,1.0872e-26,9.7134e+01
12.0000,3.2596e+01,2.5053e-27,9.9101e+01
12.7500,3.5426e+01,1.0052e-27,9.9726e+01
13.5000,3.7043e+01,5.9948e-28,9.9917e+01
14.2500,3.7831e+01,4.6175e-28,9.9975e+01
15.0000,3.7961e+01,2.1406e-28,9.9992e+01
