x_nm,A_nm2,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20
-15.0000,99.9925,6.247497e+01,4.808737e+01,3.954045e+01,3.841705e+01,3.811806e+01,3.801775e+01,3.798456e+01,3.797204e+01,3.796718e+01,3.796518e+01,3.796468e+01,3.796472e+01,3.796434e+01,3.796438e+01,3.796377e+01,3.796363e+01,3.796391e+01,3.796442e+01,3.796433e+01,3.796390e+01
-14.2500,99.9750,6.414332e+01,4.819808e+01,3.949284e+01,3.831495e+01,3.799790e+01,3.789081e+01,3.785382e+01,3.784044e+01,3.783535e+01,3.783324e+01,3.783271e+01,3.783281e+01,3.783238e+01,3.783250e+01,3.783184e+01,3.783165e+01,3.783193e+01,3.783256e+01,3.783249e+01,3.783196e+01
-13.5000,99.9171,6.407713e+01,4.730971e+01,3.871925e+01,3.753080e+01,3.721433e+01,3.710220e+01,3.706560e+01,3.705233e+01,3.704758e+01,3.704545e+01,3.704485e+01,3.704515e+01,3.704458e+01,3.704494e+01,3.704419e+01,3.704377e+01,3.704403e+01,3.704506e+01,3.704520e+01,3.704443e+01
-12.7500,99.7257,6.231998e+01,4.528403e+01,3.707434e+01,3.590266e+01,3.559460e+01,3.548526e+01,3.544933e+01,3.543529e+01,3.543075e+01,3.542847e+01,3.542762e+01,3.542840e+01,3.542746e+01,3.542838e+01,3.542742e+01,3.542648e+01,3.542667e+01,3.542861e+01,3.542929e+01,3.542810e+01
-12.0000,99.1007,5.850204e+01,4.162538e+01,3.417730e+01,3.304681e+01,3.275744e+01,3.265010e+01,3.261867e+01,3.260552e+01,3.260223e+01,3.259996e+01,3.259868e+01,3.260013e+01,3.259869e+01,3.260038e+01,3.259932e+01,3.259764e+01,3.259758e+01,3.260082e+01,3.260257e+01,3.260117e+01
-11.2500,97.1338,5.180731e+01,3.591914e+01,2.954963e+01,2.849764e+01,2.824314e+01,2.814382e+01,2.811638e+01,2.810365e+01,2.810210e+01,2.809971e+01,2.809745e+01,2.810051e+01,2.809776e+01,2.810132e+01,2.810015e+01,2.809692e+01,2.809633e+01,2.810198e+01,2.810605e+01,2.810472e+01
-10.5000,91.6009,3.894365e+01,2.791451e+01,2.271166e+01,2.184892e+01,2.165724e+01,2.157164e+01,2.155040e+01,2.153712e+01,2.153771e+01,2.153593e+01,2.153140e+01,2.153635e+01,2.153210e+01,2.153754e+01,2.153733e+01,2.153229e+01,2.153053e+01,2.153784e+01,2.154630e+01,2.154684e+01
-9.7500,79.9344,2.255227e+01,1.729977e+01,1.430556e+01,1.375297e+01,1.366100e+01,1.359769e+01,1.358885e+01,1.357479e+01,1.357846e+01,1.357870e+01,1.356948e+01,1.357868e+01,1.357062e+01,1.357995e+01,1.358186e+01,1.357439e+01,1.357091e+01,1.357665e+01,1.359247e+01,1.359791e+01
-9.0000,65.5013,1.028923e+01,8.579249e+00,7.369496e+00,7.078868e+00,7.080246e+00,7.041899e+00,7.047037e+00,7.032816e+00,7.039370e+00,7.043689e+00,7.028413e+00,7.043152e+00,7.029707e+00,7.042981e+00,7.049100e+00,7.039995e+00,7.035210e+00,7.032938e+00,7.056799e+00,7.070492e+00
-8.2500,55.9601,5.255321e+00,3.985178e+00,3.638846e+00,3.439814e+00,3.495579e+00,3.464105e+00,3.479503e+00,3.460535e+00,3.469862e+00,3.479923e+00,3.454709e+00,3.478035e+00,3.455942e+00,3.475276e+00,3.487371e+00,3.476087e+00,3.469468e+00,3.455625e+00,3.489296e+00,3.513951e+00
-7.5000,51.9583,3.612997e+00,2.410506e+00,2.477693e+00,2.289737e+00,2.362513e+00,2.333893e+00,2.353486e+00,2.331400e+00,2.340407e+00,2.355049e+00,2.322300e+00,2.353760e+00,2.323474e+00,2.345124e+00,2.362093e+00,2.353318e+00,2.346745e+00,2.317022e+00,2.352645e+00,2.388074e+00
-6.7500,50.6064,3.405927e+00,1.909569e+00,2.171138e+00,1.962622e+00,2.051006e+00,2.016925e+00,2.042183e+00,2.013651e+00,2.025100e+00,2.044409e+00,2.002465e+00,2.042776e+00,2.003599e+00,2.031160e+00,2.053412e+00,2.043770e+00,2.035327e+00,1.994027e+00,2.037251e+00,2.081436e+00
-6.0000,50.1842,3.321712e+00,1.505186e+00,1.922543e+00,1.688417e+00,1.793086e+00,1.756729e+00,1.784880e+00,1.753653e+00,1.762875e+00,1.787964e+00,1.739116e+00,1.786232e+00,1.739939e+00,1.770353e+00,1.799217e+00,1.789412e+00,1.781116e+00,1.722281e+00,1.772585e+00,1.825823e+00
-5.2500,50.0556,3.336354e+00,1.258480e+00,1.796723e+00,1.541118e+00,1.655662e+00,1.618032e+00,1.651278e+00,1.614494e+00,1.623149e+00,1.653300e+00,1.595616e+00,1.652015e+00,1.596223e+00,1.628927e+00,1.664095e+00,1.656107e+00,1.650088e+00,1.570576e+00,1.622642e+00,1.685630e+00
-4.5000,50.0168,3.420642e+00,1.121575e+00,1.751356e+00,1.468181e+00,1.590464e+00,1.550322e+00,1.588714e+00,1.547382e+00,1.553122e+00,1.589722e+00,1.521464e+00,1.589123e+00,1.521755e+00,1.557056e+00,1.599289e+00,1.593577e+00,1.589401e+00,1.487118e+00,1.538804e+00,1.609809e+00
-3.7500,50.0051,3.565348e+00,1.069789e+00,1.765955e+00,1.452332e+00,1.577308e+00,1.532563e+00,1.578446e+00,1.534101e+00,1.532085e+00,1.577481e+00,1.493014e+00,1.578054e+00,1.493005e+00,1.531539e+00,1.576183e+00,1.576416e+00,1.576291e+00,1.449521e+00,1.497464e+00,1.576130e+00
-3.0000,50.0015,3.707259e+00,1.104080e+00,1.868248e+00,1.502069e+00,1.619438e+00,1.591948e+00,1.631855e+00,1.588055e+00,1.591619e+00,1.627639e+00,1.510375e+00,1.632748e+00,1.511599e+00,1.551548e+00,1.589874e+00,1.593082e+00,1.605621e+00,1.469607e+00,1.501610e+00,1.605914e+00
-2.2500,50.0005,3.644491e+00,1.128393e+00,1.886385e+00,1.525092e+00,1.661819e+00,1.607816e+00,1.699360e+00,1.622334e+00,1.605666e+00,1.701577e+00,1.560044e+00,1.706706e+00,1.602497e+00,1.608891e+00,1.648903e+00,1.661563e+00,1.695558e+00,1.533265e+00,1.604018e+00,1.708903e+00
-1.5000,50.0001,3.486710e+00,1.079118e+00,1.793988e+00,1.458979e+00,1.600756e+00,1.542363e+00,1.620250e+00,1.563472e+00,1.545108e+00,1.623193e+00,1.514882e+00,1.663505e+00,1.528020e+00,1.547369e+00,1.607143e+00,1.615935e+00,1.654444e+00,1.485138e+00,1.530155e+00,1.678527e+00
-0.7500,50.0000,3.391871e+00,1.068611e+00,1.760021e+00,1.444915e+00,1.581290e+00,1.527246e+00,1.585473e+00,1.527082e+00,1.526765e+00,1.584893e+00,1.496673e+00,1.589711e+00,1.498333e+00,1.526976e+00,1.581304e+00,1.584061e+00,1.590184e+00,1.442524e+00,1.495956e+00,1.580539e+00
0.0000,50.0000,3.328132e+00,1.090629e+00,1.762406e+00,1.461618e+00,1.593881e+00,1.540863e+00,1.591481e+00,1.535618e+00,1.542189e+00,1.591710e+00,1.514000e+00,1.590268e+00,1.513428e+00,1.545211e+00,1.594969e+00,1.593266e+00,1.590065e+00,1.463606e+00,1.523398e+00,1.600935e+00
0.7500,50.0000,3.389268e+00,1.067753e+00,1.756893e+00,1.443375e+00,1.578041e+00,1.526383e+00,1.579004e+00,1.523145e+00,1.526628e+00,1.577552e+00,1.496111e+00,1.579055e+00,1.496179e+00,1.527791e+00,1.578545e+00,1.578474e+00,1.578844e+00,1.447039e+00,1.504213e+00,1.583525e+00
1.5000,50.0001,3.476749e+00,1.070090e+00,1.769848e+00,1.442951e+00,1.576448e+00,1.522967e+00,1.576929e+00,1.522364e+00,1.521026e+00,1.575224e+00,1.489253e+00,1.576379e+00,1.489378e+00,1.523563e+00,1.572128e+00,1.573291e+00,1.575824e+00,1.441385e+00,1.496503e+00,1.577419e+00
2.2500,50.0005,3.594982e+00,1.083733e+00,1.788742e+00,1.448120e+00,1.577029e+00,1.524047e+00,1.576431e+00,1.522641e+00,1.521585e+00,1.571394e+00,1.486148e+00,1.572312e+00,1.486630e+00,1.520699e+00,1.570112e+00,1.569575e+00,1.571127e+00,1.440322e+00,1.494073e+00,1.573850e+00
3.0000,50.0015,3.669250e+00,1.069191e+00,1.774874e+00,1.442951e+00,1.570078e+00,1.522641e+00,1.569239e+00,1.521257e+00,1.521346e+00,1.566565e+00,1.487567e+00,1.566526e+00,1.487790e+00,1.523893e+00,1.570081e+00,1.568858e+00,1.566209e+00,1.446526e+00,1.500804e+00,1.579657e+00
3.7500,50.0051,3.524697e+00,1.063074e+00,1.743742e+00,1.441166e+00,1.568806e+00,1.525074e+00,1.568684e+00,1.524081e+00,1.529724e+00,1.570807e+00,1.497033e+00,1.570095e+00,1.498003e+00,1.535646e+00,1.576796e+00,1.573899e+00,1.569914e+00,1.462797e+00,1.517331e+00,1.594203e+00
4.5000,50.0168,3.401514e+00,1.119813e+00,1.745554e+00,1.467219e+00,1.593454e+00,1.552154e+00,1.591643e+00,1.550655e+00,1.560006e+00,1.594953e+00,1.530143e+00,1.594050e+00,1.531050e+00,1.566318e+00,1.602988e+00,1.597445e+00,1.592123e+00,1.503080e+00,1.558114e+00,1.627683e+00
5.2500,50.0556,3.325448e+00,1.257393e+00,1.796150e+00,1.542199e+00,1.659444e+00,1.619323e+00,1.654584e+00,1.616826e+00,1.628833e+00,1.658659e+00,1.600901e+00,1.656956e+00,1.602013e+00,1.636419e+00,1.668284e+00,1.660207e+00,1.651395e+00,1.581630e+00,1.634496e+00,1.700054e+00
6.0000,50.1842,3.314374e+00,1.503305e+00,1.921031e+00,1.690869e+00,1.794457e+00,1.757798e+00,1.787633e+00,1.755367e+00,1.766960e+00,1.790919e+00,1.741841e+00,1.789150e+00,1.742963e+00,1.773633e+00,1.800220e+00,1.790880e+00,1.781901e+00,1.729647e+00,1.778195e+00,1.834493e+00
6.7500,50.6064,3.402089e+00,1.906640e+00,2.169205e+00,1.961866e+00,2.049682e+00,2.017901e+00,2.041639e+00,2.015447e+00,2.025311e+00,2.043995e+00,2.004689e+00,2.042445e+00,2.005824e+00,2.030779e+00,2.051967e+00,2.042860e+00,2.035420e+00,1.996546e+00,2.039456e+00,2.084801e+00
7.5000,51.9583,3.610986e+00,2.410728e+00,2.477077e+00,2.289951e+00,2.361167e+00,2.333287e+00,2.352575e+00,2.331176e+00,2.339847e+00,2.354283e+00,2.322251e+00,2.352971e+00,2.323315e+00,2.344340e+00,2.360916e+00,2.352412e+00,2.345965e+00,2.317606e+00,2.354238e+00,2.389567e+00
8.2500,55.9601,5.251562e+00,3.983231e+00,3.639012e+00,3.441311e+00,3.493868e+00,3.465332e+00,3.479344e+00,3.461780e+00,3.470598e+00,3.479935e+00,3.455948e+00,3.478686e+00,3.457198e+00,3.474767e+00,3.486386e+00,3.476935e+00,3.470567e+00,3.457222e+00,3.487908e+00,3.512045e+00
9.0000,65.5013,1.028696e+01,8.575699e+00,7.369302e+00,7.076771e+00,7.079702e+00,7.041187e+00,7.045659e+00,7.031565e+00,7.038344e+00,7.042644e+00,7.027155e+00,7.042055e+00,7.028441e+00,7.041500e+00,7.047581e+00,7.038999e+00,7.033917e+00,7.032735e+00,7.056309e+00,7.070308e+00
9.7500,79.9344,2.255361e+01,1.729643e+01,1.430712e+01,1.375095e+01,1.365880e+01,1.359646e+01,1.358625e+01,1.357211e+01,1.357595e+01,1.357620e+01,1.356685e+01,1.357613e+01,1.356802e+01,1.357735e+01,1.357938e+01,1.357191e+01,1.356808e+01,1.357503e+01,1.359071e+01,1.359624e+01
10.5000,91.6009,3.893889e+01,2.791446e+01,2.271253e+01,2.184951e+01,2.165513e+01,2.157063e+01,2.154965e+01,2.153582e+01,2.153671e+01,2.153489e+01,2.153017e+01,2.153525e+01,2.153091e+01,2.153645e+01,2.153640e+01,2.153119e+01,2.152925e+01,2.153758e+01,2.154609e+01,2.154640e+01
11.2500,97.1338,5.180620e+01,3.592140e+01,2.954987e+01,2.849692e+01,2.823872e+01,2.814464e+01,2.811693e+01,2.810338e+01,2.810183e+01,2.809960e+01,2.809702e+01,2.809997e+01,2.809740e+01,2.810074e+01,2.809988e+01,2.809665e+01,2.809589e+01,2.810173e+01,2.810590e+01,2.810452e+01
12.0000,99.1007,5.850080e+01,4.162518e+01,3.417608e+01,3.304672e+01,3.275555e+01,3.265101e+01,3.261775e+01,3.260418e+01,3.260109e+01,3.259883e+01,3.259730e+01,3.259890e+01,3.259737e+01,3.259918e+01,3.259827e+01,3.259647e+01,3.259630e+01,3.259980e+01,3.260169e+01,3.260025e+01
12.7500,99.7257,6.232143e+01,4.528654e+01,3.707259e+01,3.590226e+01,3.559164e+01,3.548463e+01,3.544878e+01,3.543425e+01,3.543003e+01,3.542779e+01,3.542673e+01,3.542758e+01,3.542659e+01,3.542754e+01,3.542674e+01,3.542578e+01,3.542587e+01,3.542783e+01,3.542864e+01,3.542759e+01
13.5000,99.9171,6.407801e+01,4.730903e+01,3.871908e+01,3.752803e+01,3.721186e+01,3.710347e+01,3.706633e+01,3.705212e+01,3.704727e+01,3.704507e+01,3.704423e+01,3.704471e+01,3.704399e+01,3.704452e+01,3.704382e+01,3.704329e+01,3.704349e+01,3.704460e+01,3.704494e+01,3.704421e+01
